视图,子视图,CPU配额,指标代码,tagK1,tagK2,tagV1,tagV2,图/表,难度
全链路监控,行情,tick行情延时,tickInsightAvgDealy,securityExchange,center,"""深交所""  2,上交所 ： 1",""" ""SZ""  / ""NJ""",,简单
,,tick行情10日均值,tickInsightAvgDealy_10Avg,,,,,,中等
,,order行情延时,orderInsightAvgDealy,,,,,,简单
,,order行情10日均值,orderInsightAvgDealy_10Avg,,,,,,中等
,,trans行情延时,transInsightAvgDealy,,,,,,简单
,,trans行情10日均值,transInsightAvgDealy_10Avg,,,,,,中等
,策略,已启动,strategyTypeToRunStrategyIdRate,,center,,"""SZ"" / ""SH"" /"" NJ",,简单
,,未启动,strategyTypeToInitStrategyIdRate,,,,,,简单
,,已暂停,strategyTypeToPauseStrategyIdRate,,,,,,简单
,,策略策略成交额,strategyAmount,center,,"""SZ"" / ""SH"" /"" NJ",,,简单
,订单,OMS延迟,currentOrderDelay,securityExchange,center,"""深交所""  2,上交所 ： 1",""" ""SZ"" / ""NJ""",,简单
,,柜台延迟,counterCurrentDelay,,,,,,简单
,,交易所延迟,exchangeCurrentDelay,,,,,,简单
,,OMS10日均值,currentOrderDelay_10Avg,,,,,,简单
,,柜台10日均值,counterCurrentDelay_10Avg,,,,,,中等
,,交易所10日均值,exchangeCurrentDelay_10Avg,,,,,,中等
,柜台,异常订单数量趋势,"countRejectOrder + counterPositiveOrder           ""isJoinTag"": true,",center,,,,,简单
,,比例,counterOrder,,,,   ,,简单
,,正报待撤订单,counterPositiveOrder,,,,,,简单
,,废单,riskTrigger,,,,,,简单
,,废单类型,countRejectOrder,,,,,,简单
,全链路监控中间部分,中心成交额,strategyOrder,center,,SZ,,,简单
,,,,,,SH,,,
,,,,,,NJ,,,
,,全链路延迟,,.shenzhen     /     .center.     /     delay,,,,,
,,,,.nanjing.     /     center.     /     delayRight；nanjing.     /     center.     /     delayLeft,,,,,
,,,,.shanghai.     /     center.     /     delay,,,,,
,,行情节点,,.shenzhen     /      .market     /      .host,,,,,
,,,,    .nanjing     /      .market     /      .host,,,,,
,,,,   .shanghai     /      .market     /      .host,,,,,
,,行情延时,,  .shenzhen     /      .market     /      .delay,,,,,
,,,,    .nanjing     /      .market     /      .inDelay  ； .nanjing   /  .market     /   .outDelay,,,,,
,,,,   .shanghai     /      .market     /      .delay,,,,,
,,策略节点,,   .shenzhen     /      .strategy     /      .node,,,,,
,,,,    .nanjing     /      .strategy     /      .node,,,,,
,,,,  .shanghai     /      .strategy     /      .node, ,,,,
,,策略延时,,   .shenzhen     /      .strategy     /      .errorNode,,,,,
,,,,  .nanjing     /      .strategy     /      .errorNode,,,,,
,,,,  .shanghai     /      .strategy     /      .errorNode ,,,,,
,,订单节点,,.shenzhen    /     .order    /     .node   ； .shenzhen    /     .order    /     .count,,,,,
